field_number,data_point,data_field_title,column_name,data_type,valid_value_codes,valid_value_descriptions,conditionality,instructions,rule_section,examples,validations
48,Demographic information of principal owner 1,Race of principal owner 1,po_1_race,Multiple response,1;2;21;22;23;24;25;26;27;3;31;32;33;34;35;36;37;4;41;42;43;44;5;966;971;972;973;974;988,Code 1 - American Indian or Alaska Native; Code 2 - Asian; Code 21 - Asian Indian; Code 22 - Chinese; Code 23 - Filipino; Code 24 - Japanese; Code 25 - Korean; Code 26 - Vietnamese ; Code 27 - Other Asian Race; Code 3 - Black or African American; Code 31 - African American; Code 32 - Ethiopian; Code 33 - Haitian; Code 34 - Jamaican; Code 35 - Nigerian; Code 36 - Somali; Code 37 - Other Black or African American Race; Code 4 - Native Hawaiian or Other Pacific Islander; Code 41 - Native Hawaiian; Code 42 - Guamanian or Chamorro; Code 43 - Samoan; Code 44 - Other Pacific Islander Race; Code 5 - White; Code 966 - The applicant responded that they did not wish to provide this information; Code 971 - The applicant responded in the free-form text field for American Indian or Alaska Native Enrolled or Principal Tribe; Code 972 - The applicant responded in the free-form text field for Other Asian race; Code 973 - The applicant responded in the free-form text field for Other Black or African race; Code 974 - The applicant responded in the free-form text field for Other Pacific Islander race; Code 988 - Not provided by applicant,Conditionally required if there is at least one principal owner. Report not applicable by leaving blank if there are no principal owners.,"Indicate the race of the applicant's principal owner 1 by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one race for a principal owner, enter each, in any order, separated by a semicolon. If the applicant selects a race for a principal owner or responds in a free-form text field but also responds that they do not wish to provide this information, enter the race codes (1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 31, 32, 33, 34, 35, 36, 37, 4, 41, 42, 43, 44, 5, 971, 972, 973, and/or 974) as appropriate. Do not report code 966 if any other codes apply.",12 CFR 1002.107(a)(19),"If Haitian and White, enter 33;5 or 5;33; If Asian and the applicant responded that they did not wish to provide this information, enter 2.; If responded Thai in the free form-text field for other Asian race but the applicant did not select Other Asian race, enter 972. May also enter 27.","When present, each value (separated by semicolons) must equal 1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 31, 32, 33, 34, 35, 36, 37, 4, 41, 42, 43, 44, 5, 966, 971, 972, 973, 974, or 988; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
49,Demographic information of principal owner 1,Race of principal owner 1: free-form text field for American Indian or Alaska Native Enrolled or Principal Tribe,po_1_race_anai_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 1' contains code 971. Report not applicable by leaving blank if code 971 is not entered,"Specify in text the principal owner 1's American Indian or Alaska Native Enrolled or Principal Tribe if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Navajo,Must not exceed 300 characters in length
50,Demographic information of principal owner 1,Race of principal owner 1: free-form text field for other Asian race,po_1_race_asian_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 1' contains code 972. Report not applicable by leaving blank if code 972 is not entered,"Specify in text the principal owner 1's other Asian race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Cambodian,Must not exceed 300 characters in length
51,Demographic information of principal owner 1,Race of principal owner 1: free-form text field for other Black or African American race,po_1_race_baa_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 1' contains code 973. Report not applicable by leaving blank if code 973 is not entered,"Specify in text the principal owner 1's other Black or African American race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Malawian,Must not exceed 300 characters in length
52,Demographic information of principal owner 1,Race of principal owner 1: free-form text field for other Pacific Islander race,po_1_race_pi_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 1' contains code 974. Report not applicable by leaving blank if code 974 is not entered,"Specify in text the principal owner 1's other Pacific Islander race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Marshallese,Must not exceed 300 characters in length
53,Demographic information of principal owner 1,Sex/gender of principal owner 1: NP flag,po_1_gender_flag,Single response,1;966;988,Code 1 - The applicant responded in the free-form text field; Code 966 - The applicant responded that they did not wish to provide this information; Code 988 - Not provided by applicant,Conditionally required if there is at least one principal owner. Report not applicable by leaving blank if there are no principal owners.,"Indicate whether the sex/gender of the applicant's principal owner 1 is provided (such as on the demographic data collection form) by entering one of the specified codes. If the applicant responds in the free-form text field but also responds that they do not wish to provide this information, enter the sex/gender code 1, not code 966.",12 CFR 1002.107(a)(19),"If the applicant responded in free-form text field and also responded that they did not wish to provide this information, enter 1.","When present, must equal 1, 966, or 988"
54,Demographic information of principal owner 1,Sex/gender of principal owner 1: free-form text field for self-identified sex/gender,po_1_gender_ff,Text (width up to 300 characters),,,Conditionally required if 'sex/gender of principal owner 1' is code 1. Report not applicable by leaving blank if code 1 is not entered.,"Specify in text the principal owner 1's self-identified sex/gender if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),,Must not exceed 300 characters in length
55,Demographic information of principal owner 2,Ethnicity of principal owner 2,po_2_ethnicity,Multiple response,1;11;12;13;14;2;966;977;988,Code 1 - Hispanic or Latino; Code 11 - Mexican; Code 12 - Puerto Rican; Code 13 - Cuban; Code 14 - Other Hispanic or Latino Ethnicity; Code 2 - Not Hispanic or Latino; Code 966 - The applicant responded that they did not wish to provide this information; Code 977 - The applicant responded in the free-form text field; Code 988 - Not provided by applicant,Conditionally required if there are at least two principal owners. Report not applicable by leaving blank if there are fewer than two principal owners.,"Indicate the ethnicity of the applicant's principal owner 2 by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one ethnicity for a principal owner, enter each, in any order, separated by a semicolon. If the applicant selects an ethnicity for a principal owner or responds in the free-form text field but also responds that they do not wish to provide this information, enter the ethnicity codes (1, 11, 12, 13, 14, 2, and/or 977) as appropriate. Do not report code 966 if any other codes apply. If an applicant responds in the free-form text field, but does not select Other Hispanic or Latino, you are permitted, but not required, to report Other Hispanic or Latino.",12 CFR 1002.107(a)(19),"If Mexican, enter 11; If Mexican and Puerto Rican, enter 11;12 or 12;11; If Mexican and the applicant responded that they did not wish to provide this information, enter 11; If responded Argentinean in the free form-text field but the applicant did not select Other Hispanic or Latino ethnicity, enter 977. May also enter 14.","When present, each value (separated by semicolons) must equal 1, 11, 12, 13, 14, 2, 966, 977, or 988; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
56,Demographic information of principal owner 2,Ethnicity of principal owner 2: free-form text field for other Hispanic or Latino ethnicity,po_2_ethnicity_ff,Text (width up to 300 characters),,,Conditionally required if 'ethnicity of principal owner 2' contains code 977. Leave blank if code 977 is not entered.,"Specify in text the other Hispanic or Latino ethnicity if code 977 is entered. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Guatemalan,Must not exceed 300 characters in length
57,Demographic information of principal owner 2,Race of principal owner 2,po_2_race,Multiple response,1;2;21;22;23;24;25;26;27;3;31;32;33;34;35;36;37;4;41;42;43;44;5;966;971;972;973;974;988,Code 1 - American Indian or Alaska Native; Code 2 - Asian; Code 21 - Asian Indian; Code 22 - Chinese; Code 23 - Filipino; Code 24 - Japanese; Code 25 - Korean; Code 26 - Vietnamese ; Code 27 - Other Asian Race; Code 3 - Black or African American; Code 31 - African American; Code 32 - Ethiopian; Code 33 - Haitian; Code 34 - Jamaican; Code 35 - Nigerian; Code 36 - Somali; Code 37 - Other Black or African American Race; Code 4 - Native Hawaiian or Other Pacific Islander; Code 41 - Native Hawaiian; Code 42 - Guamanian or Chamorro; Code 43 - Samoan; Code 44 - Other Pacific Islander Race; Code 5 - White; Code 966 - The applicant responded that they did not wish to provide this information; Code 971 - The applicant responded in the free-form text field for American Indian or Alaska Native Enrolled or Principal Tribe; Code 972 - The applicant responded in the free-form text field for Other Asian race; Code 973 - The applicant responded in the free-form text field for Other Black or African race; Code 974 - The applicant responded in the free-form text field for Other Pacific Islander race; Code 988 - Not provided by applicant,Conditionally required if there are at least two principal owners. Report not applicable by leaving blank if there are fewer than two principal owners.,"Indicate the race of the applicant's principal owner 2 by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one race for a principal owner, enter each, in any order, separated by a semicolon. If the applicant selects a race for a principal owner or responds in a free-form text field but also responds that they do not wish to provide this information, enter the race codes (1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 31, 32, 33, 34, 35, 36, 37, 4, 41, 42, 43, 44, 5, 971, 972, 973, and/or 974) as appropriate. Do not report code 966 if any other codes apply.",12 CFR 1002.107(a)(19),"If Haitian and White, enter 33;5 or 5;33; If Asian and the applicant responded that they did not wish to provide this information, enter 2.; If responded Thai in the free form-text field for other Asian race but the applicant did not select Other Asian race, enter 972. May also enter 27.","When present, each value (separated by semicolons) must equal 1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 31, 32, 33, 34, 35, 36, 37, 4, 41, 42, 43, 44, 5, 966, 971, 972, 973, 974, or 988; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
58,Demographic information of principal owner 2,Race of principal owner 2: free-form text field for American Indian or Alaska Native Enrolled or Principal Tribe,po_2_race_anai_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 2' contains code 971. Leave blank if code 971 is not entered.,"Specify in text the principal owner 2's American Indian or Alaska Native Enrolled or Principal Tribe if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Navajo,Must not exceed 300 characters in length
59,Demographic information of principal owner 2,Race of principal owner 2: free-form text field for other Asian race,po_2_race_asian_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 2' contains code 972. Leave blank if code 972 is not entered.,"Specify in text the principal owner 2's other Asian race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Cambodian,Must not exceed 300 characters in length
60,Demographic information of principal owner 2,Race of principal owner 2: free-form text field for other Black or African American race,po_2_race_baa_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 2' contains code 973. Leave blank if code 973 is not entered.,"Specify in text the principal owner 2's other Black or African American race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Malawian,Must not exceed 300 characters in length
61,Demographic information of principal owner 2,Race of principal owner 2: free-form text field for other Pacific Islander race,po_2_race_pi_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 2' contains code 974. Leave blank if code 974 is not entered.,"Specify in text the principal owner 2's other Pacific Islander race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Marshallese,Must not exceed 300 characters in length
62,Demographic information of principal owner 2,Sex/gender of principal owner 2: NP flag,po_2_gender_flag,Single response,1;966;988,Code 1 - The applicant responded in the free-form text field; Code 966 - The applicant responded that they did not wish to provide this information; Code 988 - Not provided by applicant,Conditionally required if there are at least two principal owners. Report not applicable by leaving blank if there are fewer than two principal owners.,"Indicate whether the sex/gender of the applicant's principal owner 2 is provided (such as on the demographic data collection form) by entering one of the specified codes. If the applicant responds in the free-form text field but also responds that they do not wish to provide this information, enter the sex/gender code 1, not code 966.",12 CFR 1002.107(a)(19),"If the applicant responded in free-form text field and also responded that they did not wish to provide this information, enter 1.","When present, must equal 1, 966, or 988"
63,Demographic information of principal owner 2,Sex/gender of principal owner 2: free-form text field for self-identified sex/gender,po_2_gender_ff,Text (width up to 300 characters),,,Conditionally required if 'sex/gender of principal owner 2' is code 1. Leave blank if code 1 is not entered.,"Specify in text the principal owner 2's self-identified sex/gender if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),,Must not exceed 300 characters in length
64,Demographic information of principal owner 3,Ethnicity of principal owner 3,po_3_ethnicity,Multiple response,1;11;12;13;14;2;966;977;988,Code 1 - Hispanic or Latino; Code 11 - Mexican; Code 12 - Puerto Rican; Code 13 - Cuban; Code 14 - Other Hispanic or Latino Ethnicity; Code 2 - Not Hispanic or Latino; Code 966 - The applicant responded that they did not wish to provide this information; Code 977 - The applicant responded in the free-form text field; Code 988 - Not provided by applicant,Conditionally required if there are at least three principal owners. Report not applicable by leaving blank if there are fewer than three principal owners.,"Indicate the ethnicity of the applicant's principal owner 3 by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one ethnicity for a principal owner, enter each, in any order, separated by a semicolon. If the applicant selects an ethnicity for a principal owner or responds in the free-form text field but also responds that they do not wish to provide this information, enter the ethnicity codes (1, 11, 12, 13, 14, 2, and/or 977) as appropriate. Do not report code 966 if any other codes apply. If an applicant responds in the free-form text field, but does not select Other Hispanic or Latino, you are permitted, but not required, to report Other Hispanic or Latino.",12 CFR 1002.107(a)(19),"If Mexican, enter 11; If Mexican and Puerto Rican, enter 11;12 or 12;11; If Mexican and the applicant responded that they did not wish to provide this information, enter 11; If responded Argentinean in the free form-text field but the applicant did not select Other Hispanic or Latino ethnicity, enter 977. May also enter 14.","When present, each value (separated by semicolons) must equal 1, 11, 12, 13, 14, 2, 966, 977, or 988; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
65,Demographic information of principal owner 3,Ethnicity of principal owner 3: free-form text field for other Hispanic or Latino ethnicity,po_3_ethnicity_ff,Text (width up to 300 characters),,,Conditionally required if 'ethnicity of principal owner 3' contains code 977. Leave blank if code 977 is not entered.,"Specify in text the other Hispanic or Latino ethnicity if code 977 is entered. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Guatemalan,Must not exceed 300 characters in length
66,Demographic information of principal owner 3,Race of principal owner 3,po_3_race,Multiple response,1;2;21;22;23;24;25;26;27;3;31;32;33;34;35;36;37;4;41;42;43;44;5;966;971;972;973;974;988,Code 1 - American Indian or Alaska Native; Code 2 - Asian; Code 21 - Asian Indian; Code 22 - Chinese; Code 23 - Filipino; Code 24 - Japanese; Code 25 - Korean; Code 26 - Vietnamese ; Code 27 - Other Asian Race; Code 3 - Black or African American; Code 31 - African American; Code 32 - Ethiopian; Code 33 - Haitian; Code 34 - Jamaican; Code 35 - Nigerian; Code 36 - Somali; Code 37 - Other Black or African American Race; Code 4 - Native Hawaiian or Other Pacific Islander; Code 41 - Native Hawaiian; Code 42 - Guamanian or Chamorro; Code 43 - Samoan; Code 44 - Other Pacific Islander Race; Code 5 - White; Code 966 - The applicant responded that they did not wish to provide this information; Code 971 - The applicant responded in the free-form text field for American Indian or Alaska Native Enrolled or Principal Tribe; Code 972 - The applicant responded in the free-form text field for Other Asian race; Code 973 - The applicant responded in the free-form text field for Other Black or African race; Code 974 - The applicant responded in the free-form text field for Other Pacific Islander race; Code 988 - Not provided by applicant,Conditionally required if there are at least three principal owners. Report not applicable by leaving blank if there are fewer than three principal owners.,"Indicate the race of the applicant's principal owner 3 by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one race for a principal owner, enter each, in any order, separated by a semicolon. If the applicant selects a race for a principal owner or responds in a free-form text field but also responds that they do not wish to provide this information, enter the race codes (1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 31, 32, 33, 34, 35, 36, 37, 4, 41, 42, 43, 44, 5, 971, 972, 973, and/or 974) as appropriate. Do not report code 966 if any other codes apply.",12 CFR 1002.107(a)(19),"If Haitian and White, enter 33;5 or 5;33; If Asian and the applicant responded that they did not wish to provide this information, enter 2.; If responded Thai in the free form-text field for other Asian race but the applicant did not select Other Asian race, enter 972. May also enter 27.","When present, each value (separated by semicolons) must equal 1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 31, 32, 33, 34, 35, 36, 37, 4, 41, 42, 43, 44, 5, 966, 971, 972, 973, 974, or 988; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
67,Demographic information of principal owner 3,Race of principal owner 3: free-form text field for American Indian or Alaska Native Enrolled or Principal Tribe,po_3_race_anai_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 3' contains code 971. Leave blank if code 971 is not entered.,"Specify in text the principal owner 3's American Indian or Alaska Native Enrolled or Principal Tribe if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Navajo,Must not exceed 300 characters in length
68,Demographic information of principal owner 3,Race of principal owner 3: free-form text field for other Asian race,po_3_race_asian_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 3' contains code 972. Leave blank if code 972 is not entered.,"Specify in text the principal owner 3's other Asian race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Cambodian,Must not exceed 300 characters in length
69,Demographic information of principal owner 3,Race of principal owner 3: free-form text field for other Black or African American race,po_3_race_baa_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 3' contains code 973. Leave blank if code 973 is not entered.,"Specify in text the principal owner 3's other Black or African American race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Malawian,Must not exceed 300 characters in length
70,Demographic information of principal owner 3,Race of principal owner 3: free-form text field for other Pacific Islander race,po_3_race_pi_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 3' contains code 974. Leave blank if code 974 is not entered.,"Specify in text the principal owner 3's other Pacific Islander race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Marshallese,Must not exceed 300 characters in length
71,Demographic information of principal owner 3,Sex/gender of principal owner 3: NP flag,po_3_gender_flag,Single response,1;966;988,Code 1 - The applicant responded in the free-form text field; Code 966 - The applicant responded that they did not wish to provide this information; Code 988 - Not provided by applicant,Conditionally required if there are at least three principal owners. Report not applicable by leaving blank if there are fewer than three principal owners.,"Indicate whether the sex/gender of the applicant's principal owner 3 is provided (such as on the demographic data collection form) by entering one of the specified codes. If the applicant responds in the free-form text field but also responds that they do not wish to provide this information, enter the sex/gender code 1, not code 966.",12 CFR 1002.107(a)(19),"If the applicant responded in free-form text field and also responded that they did not wish to provide this information, enter 1.","When present, must equal 1, 966, or 988"
72,Demographic information of principal owner 3,Sex/gender of principal owner 3: free-form text field for self-identified sex/gender,po_3_gender_ff,Text (width up to 300 characters),,,Conditionally required if 'sex/gender of principal owner 3' is code 1. Leave blank if code 1 is not entered.,"Specify in text the principal owner 3's self-identified sex/gender if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),,Must not exceed 300 characters in length
73,Demographic information of principal owner 4,Ethnicity of principal owner 4,po_4_ethnicity,Multiple response,1;11;12;13;14;2;966;977;988,Code 1 - Hispanic or Latino; Code 11 - Mexican; Code 12 - Puerto Rican; Code 13 - Cuban; Code 14 - Other Hispanic or Latino Ethnicity; Code 2 - Not Hispanic or Latino; Code 966 - The applicant responded that they did not wish to provide this information; Code 977 - The applicant responded in the free-form text field; Code 988 - Not provided by applicant,Conditionally required if there are four principal owners. Report not applicable by leaving blank if there are fewer than four principal owners.,"Indicate the ethnicity of the applicant's principal owner 4 by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one ethnicity for a principal owner, enter each, in any order, separated by a semicolon. If the applicant selects an ethnicity for a principal owner or responds in the free-form text field but also responds that they do not wish to provide this information, enter the ethnicity codes (1, 11, 12, 13, 14, 2, and/or 977) as appropriate. Do not report code 966 if any other codes apply. If an applicant responds in the free-form text field, but does not select Other Hispanic or Latino, you are permitted, but not required, to report Other Hispanic or Latino.",12 CFR 1002.107(a)(19),"If Mexican, enter 11; If Mexican and Puerto Rican, enter 11;12 or 12;11; If Mexican and the applicant responded that they did not wish to provide this information, enter 11; If responded Argentinean in the free form-text field but the applicant did not select Other Hispanic or Latino ethnicity, enter 977. May also enter 14.","When present, each value (separated by semicolons) must equal 1, 11, 12, 13, 14, 2, 966, 977, or 988; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
74,Demographic information of principal owner 4,Ethnicity of principal owner 4: free-form text field for other Hispanic or Latino ethnicity,po_4_ethnicity_ff,Text (width up to 300 characters),,,Conditionally required if 'ethnicity of principal owner 4' contains code 977. Leave blank if code 977 is not entered.,"Specify in text the other Hispanic or Latino ethnicity if code 977 is entered. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Guatemalan,Must not exceed 300 characters in length
75,Demographic information of principal owner 4,Race of principal owner 4,po_4_race,Multiple response,1;2;21;22;23;24;25;26;27;3;31;32;33;34;35;36;37;4;41;42;43;44;5;966;971;972;973;974;988,Code 1 - American Indian or Alaska Native; Code 2 - Asian; Code 21 - Asian Indian; Code 22 - Chinese; Code 23 - Filipino; Code 24 - Japanese; Code 25 - Korean; Code 26 - Vietnamese ; Code 27 - Other Asian Race; Code 3 - Black or African American; Code 31 - African American; Code 32 - Ethiopian; Code 33 - Haitian; Code 34 - Jamaican; Code 35 - Nigerian; Code 36 - Somali; Code 37 - Other Black or African American Race; Code 4 - Native Hawaiian or Other Pacific Islander; Code 41 - Native Hawaiian; Code 42 - Guamanian or Chamorro; Code 43 - Samoan; Code 44 - Other Pacific Islander Race; Code 5 - White; Code 966 - The applicant responded that they did not wish to provide this information; Code 971 - The applicant responded in the free-form text field for American Indian or Alaska Native Enrolled or Principal Tribe; Code 972 - The applicant responded in the free-form text field for Other Asian race; Code 973 - The applicant responded in the free-form text field for Other Black or African race; Code 974 - The applicant responded in the free-form text field for Other Pacific Islander race; Code 988 - Not provided by applicant,Conditionally required if there are four principal owners. Report not applicable by leaving blank if there are fewer than four principal owners.,"Indicate the race of the applicant's principal owner 4 by entering, as appropriate, from the specified codes. Use the codes below to report the selections that the applicant made (such as on the demographic data collection form), except where otherwise noted in 'Instructions'. If the applicant selects more than one race for a principal owner, enter each, in any order, separated by a semicolon. If the applicant selects a race for a principal owner or responds in a free-form text field but also responds that they do not wish to provide this information, enter the race codes (1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 31, 32, 33, 34, 35, 36, 37, 4, 41, 42, 43, 44, 5, 971, 972, 973, and/or 974) as appropriate. Do not report code 966 if any other codes apply.",12 CFR 1002.107(a)(19),"If Haitian and White, enter 33;5 or 5;33; If Asian and the applicant responded that they did not wish to provide this information, enter 2.; If responded Thai in the free form-text field for other Asian race but the applicant did not select Other Asian race, enter 972. May also enter 27.","When present, each value (separated by semicolons) must equal 1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 31, 32, 33, 34, 35, 36, 37, 4, 41, 42, 43, 44, 5, 966, 971, 972, 973, 974, or 988; Should not contain duplicated values; When code 966 or 988 is reported, should not contain any other values"
76,Demographic information of principal owner 4,Race of principal owner 4: free-form text field for American Indian or Alaska Native Enrolled or Principal Tribe,po_4_race_anai_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 4' contains code 971. Leave blank if code 971 is not entered.,"Specify in text the principal owner 4's American Indian or Alaska Native Enrolled or Principal Tribe if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Navajo,Must not exceed 300 characters in length
77,Demographic information of principal owner 4,Race of principal owner 4: free-form text field for other Asian race,po_4_race_asian_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 4' contains code 972. Leave blank if code 972 is not entered.,"Specify in text the principal owner 4's other Asian race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Cambodian,Must not exceed 300 characters in length
78,Demographic information of principal owner 4,Race of principal owner 4: free-form text field for other Black or African American race,po_4_race_baa_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 4' contains code 973. Leave blank if code 973 is not entered.,"Specify in text the principal owner 4's other Black or African American race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Malawian,Must not exceed 300 characters in length
79,Demographic information of principal owner 4,Race of principal owner 4: free-form text field for other Pacific Islander race,po_4_race_pi_ff,Text (width up to 300 characters),,,Conditionally required if 'race of principal owner 4' contains code 974. Leave blank if code 974 is not entered.,"Specify in text the principal owner 4's other Pacific Islander race(s) if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),Marshallese,Must not exceed 300 characters in length
80,Demographic information of principal owner 4,Sex/gender of principal owner 4: NP flag,po_4_gender_flag,Single response,1;966;988,Code 1 - The applicant responded in the free-form text field; Code 966 - The applicant responded that they did not wish to provide this information; Code 988 - Not provided by applicant,Conditionally required if there are four principal owners. Report not applicable by leaving blank if there are fewer than four principal owners.,"Indicate whether the sex/gender of the applicant's principal owner 4 is provided (such as on the demographic data collection form) by entering one of the specified codes. If the applicant responds in the free-form text field but also responds that they do not wish to provide this information, enter the sex/gender code 1, not code 966.",12 CFR 1002.107(a)(19),"If the applicant responded in free-form text field and also responded that they did not wish to provide this information, enter 1.","When present, must equal 1, 966, or 988"
81,Demographic information of principal owner 4,Sex/gender of principal owner 4: free-form text field for self-identified sex/gender,po_4_gender_ff,Text (width up to 300 characters),,,Conditionally required if 'sex/gender of principal owner 4' is code 1. Leave blank if code 1 is not entered.,"Specify in text the principal owner 4's self-identified sex/gender if provided by the applicant. Otherwise, leave this data field blank.",12 CFR 1002.107(a)(19),,Must not exceed 300 characters in length
